Word,# of Medial Consonants,# of .C*,# of C.*,# of CC.*,# of CCC.*,# of ?,prop. of .C*,prop. of C.*,prop. of CC.*,prop. of CCC.*,prop. of ?
shampoo,2,0,20,0,0,0,0,1,0,0,0
whitish,1,9,10,0,0,1,0.45,0.5,0,0,0.05
senior,2,2,18,0,0,0,0.1,0.9,0,0,0
connote,1,18,2,0,0,0,0.9,0.1,0,0,0
pantry,3,0,20,0,0,0,0,1,0,0,0
darkling,3,0,4,16,0,0,0,0.2,0.8,0,0
guano,1,13,5,0,0,2,0.65,0.25,0,0,0.1
seizure,1,14,6,0,0,0,0.7,0.3,0,0,0
passage,1,12,8,0,0,0,0.6,0.4,0,0,0
salvo,2,0,19,1,0,0,0,0.95,0.05,0,0
cobble,1,17,3,0,0,0,0.85,0.15,0,0,0
akin,1,19,1,0,0,0,0.95,0.05,0,0,0
guileless,2,0,19,1,0,0,0,0.95,0.05,0,0
deprave,2,20,0,0,0,0,1,0,0,0,0
sincere,2,0,20,0,0,0,0,1,0,0,0
lobar,1,20,0,0,0,0,1,0,0,0,0
atlas,2,1,19,0,0,0,0.05,0.95,0,0,0
sixty,3,0,4,15,1,0,0,0.2,0.75,0.05,0
grapnel,2,1,18,1,0,0,0.05,0.9,0.05,0,0
dictate,2,1,19,0,0,0,0.05,0.95,0,0,0
cistern,2,1,17,2,0,0,0.05,0.85,0.1,0,0
rector,2,1,17,2,0,0,0.05,0.85,0.1,0,0
cuddle,1,15,5,0,0,0,0.75,0.25,0,0,0
gravid,1,12,8,0,0,0,0.6,0.4,0,0,0
pending,2,0,16,4,0,0,0,0.8,0.2,0,0
shimmy,1,11,9,0,0,0,0.55,0.45,0,0,0
backside,2,0,20,0,0,0,0,1,0,0,0
bachelor,2,4,16,0,0,0,0.2,0.8,0,0,0
congest,2,0,20,0,0,0,0,1,0,0,0
hatchet,1,12,8,0,0,0,0.6,0.4,0,0,0
limbless,2,1,19,0,0,0,0.05,0.95,0,0,0
lightface,2,0,20,0,0,0,0,1,0,0,0
havoc,1,12,8,0,0,0,0.6,0.4,0,0,0
mason,1,20,0,0,0,0,1,0,0,0,0
catarrh,1,13,5,0,0,2,0.65,0.25,0,0,0.1
pedlar,2,4,15,0,0,1,0.2,0.75,0,0,0.05
rummage,1,13,7,0,0,0,0.65,0.35,0,0,0
having,1,9,11,0,0,0,0.45,0.55,0,0,0
convex,2,0,20,0,0,0,0,1,0,0,0
handcar,3,0,2,18,0,0,0,0.1,0.9,0,0
handle,2,0,19,1,0,0,0,0.95,0.05,0,0
burnish,2,1,12,7,0,0,0.05,0.6,0.35,0,0
surplus,3,0,20,0,0,0,0,1,0,0,0
passport,2,0,20,0,0,0,0,1,0,0,0
verso,2,0,19,1,0,0,0,0.95,0.05,0,0
limbo,2,0,19,0,0,1,0,0.95,0,0,0.05
awhirl,1,20,0,0,0,0,1,0,0,0,0
bovine,1,20,0,0,0,0,1,0,0,0,0
crevice,1,17,3,0,0,0,0.85,0.15,0,0,0
trousers,1,18,2,0,0,0,0.9,0.1,0,0,0
sandwich,3,0,7,13,0,0,0,0.35,0.65,0,0
gallant,1,12,8,0,0,0,0.6,0.4,0,0,0
gamble,2,0,19,1,0,0,0,0.95,0.05,0,0
lucky,1,17,3,0,0,0,0.85,0.15,0,0,0
stagger,1,14,6,0,0,0,0.7,0.3,0,0,0
pustule,2,4,14,0,0,2,0.2,0.7,0,0,0.1
stifle,1,19,1,0,0,0,0.95,0.05,0,0,0
gambit,2,0,17,3,0,0,0,0.85,0.15,0,0
basis,1,17,3,0,0,0,0.85,0.15,0,0,0
genius,2,5,14,1,0,0,0.25,0.7,0.05,0,0
outright,2,0,20,0,0,0,0,1,0,0,0
staging,1,16,4,0,0,0,0.8,0.2,0,0,0
order,2,0,20,0,0,0,0,1,0,0,0
artist,2,0,16,4,0,0,0,0.8,0.2,0,0
overt,1,17,3,0,0,0,0.85,0.15,0,0,0
stucco,1,11,9,0,0,0,0.55,0.45,0,0,0
lustre,2,8,12,0,0,0,0.4,0.6,0,0,0
proverb,1,20,0,0,0,0,1,0,0,0,0
fuddle,1,14,6,0,0,0,0.7,0.3,0,0,0
nimble,2,2,17,1,0,0,0.1,0.85,0.05,0,0
dropkick,2,0,20,0,0,0,0,1,0,0,0
milieu,2,5,13,1,0,1,0.25,0.65,0.05,0,0.05
primate,1,19,1,0,0,0,0.95,0.05,0,0,0
stocking,1,15,5,0,0,0,0.75,0.25,0,0,0
hogshead,3,1,5,14,0,0,0.05,0.25,0.7,0,0
strongly,2,2,18,0,0,0,0.1,0.9,0,0,0
opus,1,18,2,0,0,0,0.9,0.1,0,0,0
frontal,2,1,17,2,0,0,0.05,0.85,0.1,0,0
glottis,1,16,3,0,0,1,0.8,0.15,0,0,0.05
formless,3,0,2,18,0,0,0,0.1,0.9,0,0
spastic,2,5,14,1,0,0,0.25,0.7,0.05,0,0
dormant,2,0,19,1,0,0,0,0.95,0.05,0,0
snuffle,1,15,5,0,0,0,0.75,0.25,0,0,0
guinea,1,15,4,0,0,1,0.75,0.2,0,0,0.05
ovoid,1,20,0,0,0,0,1,0,0,0,0
fulcrum,3,0,20,0,0,0,0,1,0,0,0
smuggle,1,15,5,0,0,0,0.75,0.25,0,0,0
goatee,1,20,0,0,0,0,1,0,0,0,0
compile,2,0,20,0,0,0,0,1,0,0,0
capstan,3,0,18,1,0,1,0,0.9,0.05,0,0.05
calif,1,14,5,0,0,1,0.7,0.25,0,0,0.05
aside,1,20,0,0,0,0,1,0,0,0,0
spatial,1,19,0,0,0,1,0.95,0,0,0,0.05
