Affix,Length
y,1
en,2
some,3
ful,3
age,2
ic,2
er,2
ar,2
ers,3
ade,2
ish,2
al,2
ie,1
ier,3
ist,3
ant,3
ance,3
et,2
ure,2
le,2
ence,3
ly,2
ess,2
ard,3
or,2
ial,2
id,2
dom,3
ward,3
ion,2
ious,2
ous,2
ock,2
ive,2
ness,3
ule,2
wise,3
ment,4
eur,2
eous,2
ette,2
oid,2
fold,4
ise,2
nik,3
let,3
ern,3
less,3
teen,3
ty,2
ling,3
ee,1
red,3
ice,2
ship,3
hood,3
like,3
ate,2
self,4
ile,2
sy,2
ent,3
ry,2
ster,4
most,4
a,1
be,2
de,2
dis,3
pre,3
pro,3
re,2
tri,3
twi,3
bi,2
di,2
em,2
fore,3
for,3
in,2
mal,3
mid,3
mis,3
out,2
sub,3
sur,3
trans,5
un,2
up,2
with,3
im,2
non,3
post,4
ing,2
en,2
ings,3
ed,2
es,1
er,2
ren,3
