Cluster,Word,Response,jP_XC,jP_CX,jP_CCX,jP_CCCX,OnsetMax,Morph_XC,Morph_CX,Morph_CCX,Morph_CCCX,Frequency,P_stress,P_lax,codaP,onsetP
"('M', 'P')",shampoo,XC,0.0,0.7707032826781322,0.22929671732186793,0,CX,0.25,0.25,0.25,0,0,False,True,0.9048539000241487,0.0
"('M', 'P')",shampoo,CX,0.0,0.7707032826781322,0.22929671732186793,0,CX,0.25,0.25,0.25,0,20,False,True,0.08910891089108909,0.1854826714264465
"('M', 'P')",shampoo,CCX,0.0,0.7707032826781322,0.22929671732186793,0,CX,0.25,0.25,0.25,0,0,False,True,0.006037189084762133,0.8145173285735534
"('M', 'P')",shampoo,X,0.0,0.7707032826781322,0.22929671732186793,0,CX,0.25,0.25,0.25,0,0,False,True,,
"('T',)",whitish,XC,0.38148849821433184,0.6185115017856682,0,0,XC,0,1,0,0,9,True,False,0.8192850114791734,0.119755666291593
"('T',)",whitish,CX,0.38148849821433184,0.6185115017856682,0,0,XC,0,1,0,0,10,True,False,0.18071498852082649,0.8802443337084069
"('T',)",whitish,X,0.38148849821433184,0.6185115017856682,0,0,XC,0,1,0,0,1,True,False,,
"('N', 'Y')",senior,XC,0.03504817135908709,0.9649518286409129,0.0,0,CX,0.25,0.25,0.25,0,2,True,False,0.7205769230769231,0.0005270555165144062
"('N', 'Y')",senior,CX,0.03504817135908709,0.9649518286409129,0.0,0,CX,0.25,0.25,0.25,0,18,True,False,0.27942307692307683,0.03742094167252285
"('N', 'Y')",senior,CCX,0.03504817135908709,0.9649518286409129,0.0,0,CX,0.25,0.25,0.25,0,0,True,False,0.0,0.9620520028109627
"('N', 'Y')",senior,X,0.03504817135908709,0.9649518286409129,0.0,0,CX,0.25,0.25,0.25,0,0,True,False,,
"('N',)",connote,XC,0.21103738610226522,0.7889626138977348,0,0,XC,0.25,0.25,0,0,18,False,True,0.7205769230769231,0.0939774983454666
"('N',)",connote,CX,0.21103738610226522,0.7889626138977348,0,0,XC,0.25,0.25,0,0,2,False,True,0.27942307692307683,0.9060225016545335
"('N',)",connote,X,0.21103738610226522,0.7889626138977348,0,0,XC,0.25,0.25,0,0,0,False,True,,
"('N', 'T', 'R')",pantry,XC,0.0,0.40328605814075164,0.5967139418592484,0.0,CX,0.25,0.25,0.25,0.25,0,True,True,0.6664295242329924,0.0
"('N', 'T', 'R')",pantry,CX,0.0,0.40328605814075164,0.5967139418592484,0.0,CX,0.25,0.25,0.25,0.25,20,True,True,0.25842596709648724,0.041592799672712386
"('N', 'T', 'R')",pantry,CCX,0.0,0.40328605814075164,0.5967139418592484,0.0,CX,0.25,0.25,0.25,0.25,0,True,True,0.07514450867052024,0.21164598390835948
"('N', 'T', 'R')",pantry,CCCX,0.0,0.40328605814075164,0.5967139418592484,0.0,CX,0.25,0.25,0.25,0.25,0,True,True,0.0,0.746761216418928
"('N', 'T', 'R')",pantry,X,0.0,0.40328605814075164,0.5967139418592484,0.0,CX,0.25,0.25,0.25,0.25,0,True,True,,
"('N',)",guano,XC,0.21103738610226522,0.7889626138977348,0,0,XC,0.25,0.25,0,0,13,True,False,0.7205769230769231,0.0939774983454666
"('N',)",guano,CX,0.21103738610226522,0.7889626138977348,0,0,XC,0.25,0.25,0,0,5,True,False,0.27942307692307683,0.9060225016545335
"('N',)",guano,X,0.21103738610226522,0.7889626138977348,0,0,XC,0.25,0.25,0,0,2,True,False,,
"('ZH',)",seizure,XC,0.1386750555144338,0.8613249444855662,0,0,XC,1,0,0,0,14,True,False,0.9977366529090668,0.0003650967506389193
"('ZH',)",seizure,CX,0.1386750555144338,0.8613249444855662,0,0,XC,1,0,0,0,6,True,False,0.0022633470909332975,0.999634903249361
"('ZH',)",seizure,X,0.1386750555144338,0.8613249444855662,0,0,XC,1,0,0,0,0,True,False,,
"('S',)",passage,XC,0.5857147118969894,0.41428528810301046,0,0,XC,0,1,0,0,12,True,True,0.8349860724233983,0.2183842420782187
"('S',)",passage,CX,0.5857147118969894,0.41428528810301046,0,0,XC,0,1,0,0,8,True,True,0.16501392757660163,0.7816157579217813
"('S',)",passage,X,0.5857147118969894,0.41428528810301046,0,0,XC,0,1,0,0,0,True,True,,
"('L', 'V')",salvo,XC,0.0,0.935154475869664,0.06484552413033597,0,CX,0.25,0.25,0.25,0,0,True,True,0.7543789007449164,0.0
"('L', 'V')",salvo,CX,0.0,0.935154475869664,0.06484552413033597,0,CX,0.25,0.25,0.25,0,19,True,True,0.2443124622508556,0.07170706899474488
"('L', 'V')",salvo,CCX,0.0,0.935154475869664,0.06484552413033597,0,CX,0.25,0.25,0.25,0,1,True,True,0.0013086370042279041,0.9282929310052551
"('L', 'V')",salvo,X,0.0,0.935154475869664,0.06484552413033597,0,CX,0.25,0.25,0.25,0,0,True,True,,
"('B',)",cobble,XC,0.924360571883047,0.07563942811695307,0,0,XC,0,1,0,0,17,True,False,0.9850157728706624,0.15676008623344626
"('B',)",cobble,CX,0.924360571883047,0.07563942811695307,0,0,XC,0,1,0,0,3,True,False,0.014984227129337538,0.8432399137665537
"('B',)",cobble,X,0.924360571883047,0.07563942811695307,0,0,XC,0,1,0,0,0,True,False,,
"('K',)",akin,XC,0.7122404618686946,0.28775953813130534,0,0,XC,1,0,0,0,19,False,True,0.882477626000942,0.2479055074852356
"('K',)",akin,CX,0.7122404618686946,0.28775953813130534,0,0,XC,1,0,0,0,1,False,True,0.11752237399905792,0.7520944925147645
"('K',)",akin,X,0.7122404618686946,0.28775953813130534,0,0,XC,1,0,0,0,0,False,True,,
"('L', 'L')",guileless,XC,0.0,1.0,0.0,0,CX,0,1,0,0,0,True,False,0.7553674024795888,0.0
"('L', 'L')",guileless,CX,0.0,1.0,0.0,0,CX,0,1,0,0,19,True,False,0.24463259752041122,0.1299650460756276
"('L', 'L')",guileless,CCX,0.0,1.0,0.0,0,CX,0,1,0,0,1,True,False,0.0,0.8700349539243725
"('L', 'L')",guileless,X,0.0,1.0,0.0,0,CX,0,1,0,0,0,True,False,,
"('P', 'R')",deprave,XC,0.8991805746829523,0.10081942531704777,0.0,0,XC,0.25,0.25,0.25,0,20,False,False,0.9565994383456726,0.08202716823406479
"('P', 'R')",deprave,CX,0.8991805746829523,0.10081942531704777,0.0,0,XC,0.25,0.25,0.25,0,0,False,False,0.043400561654327284,0.20271682340647862
"('P', 'R')",deprave,CCX,0.8991805746829523,0.10081942531704777,0.0,0,XC,0.25,0.25,0.25,0,0,False,False,0.0,0.7152560083594567
"('P', 'R')",deprave,X,0.8991805746829523,0.10081942531704777,0.0,0,XC,0.25,0.25,0.25,0,0,False,False,,
"('N', 'S')",sincere,XC,0.0,0.696979938575447,0.303020061424553,0,CX,0.25,0.25,0.25,0,0,False,True,0.6969217892681112,0.0
"('N', 'S')",sincere,CX,0.0,0.696979938575447,0.303020061424553,0,CX,0.25,0.25,0.25,0,20,False,True,0.27025016274528035,0.2183842420782187
"('N', 'S')",sincere,CCX,0.0,0.696979938575447,0.303020061424553,0,CX,0.25,0.25,0.25,0,0,False,True,0.032828047986608384,0.7816157579217813
"('N', 'S')",sincere,X,0.0,0.696979938575447,0.303020061424553,0,CX,0.25,0.25,0.25,0,0,False,True,,
"('T', 'L')",atlas,XC,0.0,0.9959665004456295,0.004033499554370484,0,CX,0.25,0.25,0.25,0,1,True,True,0.8191954525579361,0.0
"('T', 'L')",atlas,CX,0.0,0.9959665004456295,0.004033499554370484,0,CX,0.25,0.25,0.25,0,19,True,True,0.18069523393091383,0.1299650460756276
"('T', 'L')",atlas,CCX,0.0,0.9959665004456295,0.004033499554370484,0,CX,0.25,0.25,0.25,0,0,True,True,0.00010931351114997813,0.8700349539243725
"('T', 'L')",atlas,X,0.0,0.9959665004456295,0.004033499554370484,0,CX,0.25,0.25,0.25,0,0,True,True,,
"('K', 'S', 'T')",sixty,XC,0.0,0.6558577146077504,0.2604521878671519,0.08369009752509766,CX,0,0,1,0,0,True,True,0.8630657606817921,0.0
"('K', 'S', 'T')",sixty,CX,0.0,0.6558577146077504,0.2604521878671519,0.08369009752509766,CX,0,0,1,0,4,True,True,0.11493723367499711,0.0523990860624524
"('K', 'S', 'T')",sixty,CCX,0.0,0.6558577146077504,0.2604521878671519,0.08369009752509766,CX,0,0,1,0,15,True,True,0.021075665092709892,0.11348057882711349
"('K', 'S', 'T')",sixty,CCCX,0.0,0.6558577146077504,0.2604521878671519,0.08369009752509766,CX,0,0,1,0,1,True,True,0.0009213405505009789,0.8341203351104342
"('K', 'S', 'T')",sixty,X,0.0,0.6558577146077504,0.2604521878671519,0.08369009752509766,CX,0,0,1,0,0,True,True,,
"('K', 'T')",dictate,XC,0.0,0.46375406831906846,0.5362459316809316,0,CX,0.25,0.25,0.25,0,1,False,True,0.8664585501214013,0.0
"('K', 'T')",dictate,CX,0.0,0.46375406831906846,0.5362459316809316,0,CX,0.25,0.25,0.25,0,19,False,True,0.11538906231934325,0.119755666291593
"('K', 'T')",dictate,CCX,0.0,0.46375406831906846,0.5362459316809316,0,CX,0.25,0.25,0.25,0,0,False,True,0.0181523875592554,0.8802443337084069
"('K', 'T')",dictate,X,0.0,0.46375406831906846,0.5362459316809316,0,CX,0.25,0.25,0.25,0,0,False,True,,
"('S', 'T')",cistern,XC,0.4002269768683868,0.17129534394680482,0.42847767918480834,0,XC,0.25,0.25,0.25,0,1,True,True,0.7905897246544993,0.0523990860624524
