word	score	*[+sonorant,+DORSAL]	*[-word_boundary][+continuant]	*[-word_boundary][+voice]	*[-continuant][-sonorant]	*[+voice][-sonorant]	*[+sonorant][+consonantal]	*[+sonorant][+CORONAL]	*[-word_boundary][+strident]	*[+sonorant][+LABIAL]	*[+LABIAL][-sonorant]	*[+LABIAL][+LABIAL]	*[-continuant][+consonantal,+LABIAL]	*[+voice,+CORONAL][+consonantal]	*[-anterior][+consonantal]	*[-anterior][+LABIAL]	*[-consonantal][+consonantal]	*[+continuant,+voice][+CORONAL]	*[-continuant,+CORONAL][+consonantal]	*[+continuant,+voice][+LABIAL]	*[-continuant][+nasal]	*[-consonantal,+sonorant][-word_boundary]	*[+continuant,+voice,+CORONAL][-word_boundary]	*[+sonorant,+CORONAL][-word_boundary]	*[-anterior][+high]	*[-continuant,-anterior][-word_boundary]	*[+LABIAL][+nasal]	*[-strident][+consonantal]	*[+CORONAL][-back]	*[+voice,-strident]	*[+strident][-anterior]	*[+continuant,+voice,-anterior]	*[+voice,+CORONAL][+LABIAL]	*[-consonantal][-word_boundary]	*[-consonantal][+CORONAL]	*[+continuant,+voice][-word_boundary]	*[-strident][+LABIAL]	*[-consonantal][+LABIAL]	*[-word_boundary][+sonorant][-word_boundary]	*[-word_boundary][+DORSAL][+consonantal]	*[-word_boundary][+CORONAL][+LABIAL]	*[-continuant,+CORONAL][+LABIAL]	*[-strident]	*[-word_boundary][+LABIAL][+high]	*[-word_boundary][+nasal,+LABIAL]	*[+word_boundary][+high]	*[+voice][+LABIAL]	*[+anterior,+strident][-anterior]	*[-continuant,+LABIAL][+high]	*[-continuant,-voice,-anterior]	*[-word_boundary][+nasal,+CORONAL]	*[+continuant,+CORONAL][+high]	*[+voice,+DORSAL][+high]	*[-consonantal,-sonorant]	*[+continuant,+voice,+anterior]	*[+continuant,+LABIAL][+high]	*[+voice][+consonantal]	*[+sonorant][-word_boundary]	*[+voice,+DORSAL][+word_boundary]	*[-anterior][-word_boundary]	*[+CORONAL][+lateral]	*[-word_boundary][-word_boundary][+high]	*[+voice,+CORONAL][+high]	*[-word_boundary][-word_boundary][+consonantal]	*[-continuant,+voice,-anterior]	*[+continuant,+LABIAL][+consonantal]	*[+voice,+CORONAL][-word_boundary]	*[-word_boundary][+nasal]	*[+continuant][-anterior]	*[-continuant,-voice,+CORONAL][+high]	*[+voice,+DORSAL][-back]	*[-voice,+DORSAL][+consonantal]	*[+strident][-consonantal]	*[-word_boundary][+LABIAL][-anterior]	*[-word_boundary][+DORSAL]	*[+continuant,+voice,+LABIAL]	*[-continuant,+CORONAL][+high]	*[-continuant,-voice][+LABIAL]	*[-strident][+high]	*[+voice,+LABIAL][-anterior]	*[+continuant,-voice,+LABIAL][+word_boundary]	*[+DORSAL][+high]	*[-word_boundary][+consonantal,+LABIAL]	*[+word_boundary][-continuant,-voice,+LABIAL][+consonantal]	*[+continuant,-anterior]	*[-continuant,+voice,+LABIAL]	*[-voice,+LABIAL][+high]	*[+consonantal,+continuant][-consonantal]	*[+DORSAL][+CORONAL]	*[+strident][+high]	*[+voice,+LABIAL][+high]	*[+CORONAL][+high]	*[+voice,+LABIAL][+CORONAL]	*[+voice,+DORSAL][+consonantal]	*[-word_boundary][+LABIAL][-consonantal]	*[+voice,+LABIAL][+consonantal]	*[+word_boundary][-continuant,-voice,+LABIAL][+word_boundary]	*[+DORSAL][-back]	*[+voice,+DORSAL][+LABIAL]	*[+continuant,+LABIAL][-anterior]	*[-word_boundary][+DORSAL][+word_boundary]	*[+continuant,+anterior][-anterior]	*[-sonorant,+LABIAL][+high]	*[+voice,+CORONAL][+CORONAL]	*[+continuant,-voice][+high]	*[+CORONAL][+consonantal,+sonorant]	*[+DORSAL][+LABIAL]	*[+voice,+LABIAL][-consonantal]	*[+voice,+LABIAL][-word_boundary]	*[-continuant,-voice,+LABIAL][+high]	*[+continuant,+voice,+strident]	*[-strident][-word_boundary]	*[+continuant,+LABIAL][-consonantal]	*[-continuant,-voice,+CORONAL][+CORONAL]	*[+CORONAL][+consonantal,+CORONAL]	*[+LABIAL][-anterior]	*[-word_boundary][-sonorant,+LABIAL]	*[-continuant][-back]	*[-continuant,-voice,+LABIAL][+consonantal]	*[+word_boundary][+round]	*[+DORSAL][-anterior]	*[+voice][+high]	*[-voice,-strident]	*[+voice][+CORONAL]	*[-strident][+word_boundary]	*[+continuant][-consonantal]	*[-continuant,+voice,+anterior]	*[-continuant,-voice,+CORONAL][+LABIAL]	*[-continuant,-voice][-back]	*[+anterior,+strident][-consonantal]	*[+voice,+anterior]	*[-consonantal,+sonorant]	*[+consonantal,+LABIAL]	*[+consonantal,-anterior]	*[+consonantal,+sonorant]	*[+DORSAL]	*[+continuant,+voice,+CORONAL]	*[+continuant,+voice]	*[-anterior]	*[+continuant,+anterior]	*[-consonantal]	*[-sonorant,+LABIAL]	*[-sonorant,+CORONAL]	*[+LABIAL]	*[+voice,+LABIAL]	*[+voice]	*[+nasal]	*[+sonorant]	*[-continuant,+CORONAL]	*[-continuant,+LABIAL]	*[-voice,+LABIAL]	annotation
word	score	default	default	default	default	default	default	default	default	default	default	default	default	default	default	default	default	default	default	default	default	default	default	default	default	default	default	default	default	default	default	default	default	default	default	default	default	default	default	default	default	default	default	default	default	default	default	default	default	default	default	default	default	default	default	default	default	default	default	default	default	default	default	default	default	default	default	default	default	default	default	default	default	default	default	default	default	default	default	default	default	default	default	default	default	default	default	default	default	default	default	default	default	default	default	default	default	default	default	default	default	default	default	default	default	default	default	default	default	default	default	default	default	default	default	default	default	default	default	default	default	default	default	default	default	default	default	default	default	default	default	default	default	default	default	default	default	default	default	default	default	default	default	default	default	default	default	default	default	default	default	annotation
word	score	2.942	4.633	5.147	4.896	1.058	1.665	2.982	1.725	1.524	4.442	3.882	0.673	0.662	3.202	1.313	1.907	1.95	2.737	0.537	2.412	0.981	0.643	2.503	1.182	0.869	2.003	2.961	3.607	0.952	1.177	1.22	0.275	2.791	2.688	1.24	1.002	2.384	0.873	1.569	1.509	0	1.267	0.097	1.234	1.891	1.064	2.729	0.605	0.973	0.85	0.001	0.696	3.2	0	0.721	1.263	3.108	1.282	2.448	1.563	0.719	0.502	1.93	0.231	2.662	1.337	1.64	0.065	1.081	0.544	1.269	0.695	1.174	2.29	0.661	1.078	0.988	0.926	0.056	0.777	0.746	1.395	1.198	0.943	1.013	1.017	0	1.148	0	0.309	1.367	0.312	0.823	0.788	0.745	0.366	0.888	0.651	0.563	0.227	0.522	0.842	1.208	0.031	0	0.472	0.001	0.207	0	0.057	1.331	0.849	1.715	1.596	1.112	0.644	0.588	1.112	0.071	0.729	0.54	0.799	0	0.42	0	0.483	0	0.229	1.452	0	0.001	0	1.179	2.447	4.363	0.526	0.704	0	1.538	2.612	2.494	2.732	0.007	1.19	0.016	0.137	1.859	1.219	0.076	1.788	annotation
B CH 	26.717	0	0	0	1	1	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	1	0	0	0	0	1	0	0	1	1	1	1	1	0	0	1	1	0	
B D 	27.319	0	0	1	1	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	1	0	1	0	0	0	0	0	0	0	0	1	1	1	1	2	0	0	1	1	0	
B DH 	35.657	0	1	1	1	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	1	0	1	0	0	0	1	1	0	1	0	1	1	1	1	2	0	0	0	1	0	
B F 	34.767	0	1	0	1	1	0	0	0	0	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	2	0	2	1	1	0	0	0	1	1	
B G 	30.734	0	0	1	1	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	1	0	1	1	2	0	0	0	1	0	
B HH 	25.847	0	1	0	1	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	1	0	1	1	1	0	0	0	1	0	
B JH 	31.138	0	0	1	1	1	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	1	0	0	0	0	1	0	0	1	1	1	1	2	0	0	1	1	0	
B K 	24.289	0	0	0	1	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	1	0	1	1	1	0	0	0	1	0	
