word	score	*[+continuant,+voice,-anterior]	*[+sonorant,+DORSAL]	*[-word_boundary][+continuant]	*[-word_boundary][+voice]	*[-continuant][-sonorant]	*[+sonorant][+consonantal]	*[+voice][-sonorant]	*[+LABIAL][+LABIAL]	*[+voice,+CORONAL][+consonantal]	*[-anterior][+consonantal]	*[+sonorant][+CORONAL]	*[-consonantal][+consonantal]	*[-continuant][+nasal]	*[-consonantal,+sonorant][-word_boundary]	*[+continuant,+voice][+CORONAL]	*[+sonorant,+CORONAL][-word_boundary]	*[+voice,+strident][-word_boundary]	*[-strident][+consonantal]	*[+LABIAL][-sonorant]	*[+CORONAL][-back]	*[+continuant,+voice,+CORONAL]	*[-word_boundary][+strident]	*[-anterior][-word_boundary]	*[+voice,+CORONAL][+LABIAL]	*[-consonantal][+CORONAL]	*[-anterior][+LABIAL]	*[-consonantal][+LABIAL]	*[-continuant,+CORONAL][+consonantal]	*[+continuant,+voice][-word_boundary]	*[+LABIAL][+nasal]	*[+anterior,+strident][-anterior]	*[-strident][+LABIAL]	*[+voice,+DORSAL][+high]	*[-word_boundary][+CORONAL][+LABIAL]	*[-strident]	*[+voice,+LABIAL][+high]	*[-word_boundary][+DORSAL][+consonantal]	*[-word_boundary][+sonorant][-word_boundary]	*[-word_boundary][-word_boundary][-back]	*[-voice,-anterior]	*[-back]	*[+sonorant][+LABIAL]	*[-word_boundary][+nasal]	*[-continuant,+CORONAL][+LABIAL]	*[-continuant,-anterior][-word_boundary]	*[+voice,+DORSAL][+word_boundary]	*[+voice,-anterior]	*[+continuant,+voice,+LABIAL]	*[+voice][+consonantal]	*[+round]	*[-consonantal][-word_boundary]	*[+voice][+LABIAL]	*[+nasal,+CORONAL]	*[+sonorant][-word_boundary]	*[+voice,+DORSAL][-back]	*[+CORONAL][+lateral]	*[+voice,+CORONAL][+high]	*[+strident][-anterior]	*[-word_boundary][-word_boundary][+consonantal]	*[-word_boundary][-sonorant,+LABIAL][+word_boundary]	*[-consonantal,-sonorant]	*[+voice,+CORONAL][+CORONAL]	*[-word_boundary][+DORSAL]	*[+CORONAL][+high]	*[-continuant,+CORONAL][+high]	*[-voice,+LABIAL][+consonantal]	*[-word_boundary][+LABIAL][-word_boundary]	*[+continuant,-voice,+LABIAL]	*[-continuant,-voice][+consonantal]	*[-continuant,-voice,+anterior]	*[-continuant,+voice,+LABIAL]	*[+word_boundary][+lateral]	*[+DORSAL][-anterior]	*[+continuant][-anterior]	*[-strident][+high]	*[+voice,+LABIAL][-anterior]	*[-word_boundary][+nasal,+LABIAL]	*[+continuant,+LABIAL][+consonantal]	*[-sonorant,+LABIAL][+high]	*[-continuant,-voice][-back]	*[+voice,+LABIAL][+CORONAL]	*[+voice,+DORSAL][+LABIAL]	*[+continuant,+anterior][-anterior]	*[-word_boundary][-sonorant,+CORONAL]	*[+DORSAL][-back]	*[+continuant,+voice,+strident]	*[+strident][-consonantal]	*[+word_boundary][-continuant][+LABIAL]	*[-word_boundary][+LABIAL][-anterior]	*[+voice][-anterior]	*[-continuant][+consonantal]	*[+LABIAL][+consonantal]	*[+word_boundary][-continuant,-voice,+anterior]	*[+word_boundary][-back]	*[+DORSAL][+consonantal]	*[+continuant,+voice][+LABIAL]	*[-continuant,+LABIAL][+consonantal]	*[+CORONAL][+sonorant,+anterior]	*[-strident][-word_boundary]	*[+continuant,+voice,+anterior]	*[+voice,+anterior,+strident]	*[-word_boundary][+consonantal,+LABIAL]	*[+continuant,+LABIAL][+high]	*[+CORONAL][-anterior]	*[+voice,+CORONAL][-word_boundary]	*[+word_boundary][+high]	*[-word_boundary][+nasal,+CORONAL]	*[-voice,-strident]	*[+voice,-strident]	*[+voice][-consonantal]	*[+word_boundary][-continuant,-voice,+LABIAL][-word_boundary]	*[+voice][+high]	*[+word_boundary][-continuant,-voice,+CORONAL]	*[-strident][+word_boundary]	*[+anterior,+strident][-consonantal]	*[-continuant,+LABIAL][+high]	*[-continuant,-voice,+LABIAL][+consonantal]	*[+DORSAL][+LABIAL]	*[+voice,+LABIAL][+consonantal]	*[+voice,+DORSAL][+consonantal]	*[+continuant,+LABIAL][-word_boundary]	*[-voice,+DORSAL][+consonantal]	*[+word_boundary][+DORSAL][-back]	*[-continuant,-voice,+CORONAL][-word_boundary]	*[-continuant,+CORONAL][+CORONAL]	*[-word_boundary][+LABIAL][-consonantal]	*[+nasal]	*[+continuant,-anterior]	*[+LABIAL][+high]	*[-word_boundary][+DORSAL][-back]	*[+word_boundary][-voice,+DORSAL][+LABIAL]	*[+word_boundary][-continuant,-voice,+LABIAL]	*[-continuant,-voice,-anterior]	*[-continuant,-voice,+CORONAL]	*[-continuant,+CORONAL][-word_boundary]	*[+continuant,+voice]	*[-sonorant,+anterior]	*[-anterior]	*[+consonantal,+sonorant]	*[-sonorant,+LABIAL]	*[+DORSAL]	*[+LABIAL]	*[+consonantal,+LABIAL]	*[+consonantal,+continuant]	*[+consonantal,+CORONAL]	*[+sonorant]	*[-continuant,+LABIAL]	*[+voice,+CORONAL]	*[+sonorant,+anterior]	*[-sonorant,+CORONAL]	annotation
word	score	default	default	default	default	default	default	default	default	default	default	default	default	default	default	default	default	default	default	default	default	default	default	default	default	default	default	default	default	default	default	default	default	default	default	default	default	default	default	default	default	default	default	default	default	default	default	default	default	default	default	default	default	default	default	default	default	default	default	default	default	default	default	default	default	default	default	default	default	default	default	default	default	default	default	default	default	default	default	default	default	default	default	default	default	default	default	default	default	default	default	default	default	default	default	default	default	default	default	default	default	default	default	default	default	default	default	default	default	default	default	default	default	default	default	default	default	default	default	default	default	default	default	default	default	default	default	default	default	default	default	default	default	default	default	default	default	default	default	default	default	default	default	default	default	default	default	default	default	default	default	annotation
word	score	0.869	3.803	4.098	3.838	3.082	1.363	0.749	2.947	0.459	2.258	2.741	1.809	1.714	0.593	1.861	1.661	0.499	2.517	2.745	3.825	0.644	0.962	1.3	0.008	2.483	1.57	1.958	1.55	1.425	1.438	3.116	0.958	1.278	1.968	1.112	0	1.301	0.462	0.633	0.528	0.726	1.031	1.045	0	1.688	1.649	0.494	0.272	0.97	1.348	2.651	0.505	0.922	3.101	0.99	2.55	0.246	0.459	0.899	0.716	2.716	0.569	1.876	0.592	0.691	0	0.256	0.615	1.055	0.001	0.982	1.507	1.394	0	0.883	0.412	0.742	0.467	1.108	0.826	0.259	0.455	0.404	1.997	1.607	0.631	0.186	0.292	1.182	0	1.051	0.255	0.568	1.216	0.629	0.185	0	0.325	0.786	0	0	1.376	0.174	0	0.801	0.899	0.312	1.099	0.148	0.293	0.063	1.02	0.891	0.461	1.148	1.068	0.035	0.637	0.016	0.764	1.057	0	0.916	0	0	0.921	1.023	0.69	0.045	0.825	0.723	0.672	0.707	0.203	0.386	0.782	0.099	0.888	0	1.032	1.746	0	0	0.999	0.01	1.087	0.415	1.046	0	0.853	annotation
B CH 	18.117	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	1	0	0	1	0	0	0	0	0	1	1	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	1	0	1	0	1	1	0	1	0	1	0	0	1	
B D 	19.401	0	0	0	1	1	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	1	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	1	1	0	1	0	1	1	0	1	
B DH 	27.646	0	0	1	1	1	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	1	1	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	1	0	1	1	1	1	0	1	1	0	1	
B F 	23.878	0	0	1	0	1	0	1	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	1	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	2	2	1	0	0	1	0	0	0	
B G 	20.407	0	0	0	1	1	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	1	0	0	0	1	0	0	0	
B HH 	16.113	0	0	1	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	1	0	0	0	1	0	0	0	
B JH 	22.058	0	0	0	1	1	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	1	0	0	1	0	0	0	0	0	1	1	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	1	1	0	1	0	1	1	0	1	
B K 	14.919	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	1	0	0	0	1	0	0	0	
