Cluster,Length,Onset count,Coda count,Onset proportion,Coda proportion,Onset prob2,Coda prob2
"('S', 'T')",2,202,404,0.011064855,0.022129711,0.015873372,0.030206516
"('F', 'Y')",2,33,0,0.001807625,0,0.002593175,0
"('N', 'S')",2,0,330,0,0.018076249,0,0.024673639
"('P', 'R')",2,484,0,0.026511832,0,0.038033227,0
"('TH', 'R')",2,23,0,0.00125986,0,0.001807364,0
"('N', 'S', 'T')",3,0,3,0,0.00016433,0,0.009598774
"('R', 'JH')",2,0,10,0,0.000547765,0,0.000747686
"('W',)",1,281,0,0.0153922,0,0.008976032,0
"('N', 'D')",2,0,136,0,0.007449606,0,0.01016853
"('G', 'L')",2,59,0,0.003231814,0,0.004636282,0
"('V', 'Y')",2,2,0,0.000109553,0,0.000157162,0
"('M', 'F')",2,0,3,0,0.00016433,0,0.000224306
"('G', 'W')",2,5,0,0.000273883,0,0.000392905,0
"('K', 'L')",2,120,0,0.006573181,0,0.009429726,0
"('TH', 'W')",2,1,0,5.48E-05,0,7.86E-05,0
"('K', 'W')",2,90,0,0.004929886,0,0.007072294,0
"('M', 'Y')",2,28,0,0.001533742,0,0.002200269,0
"('S', 'K', 'R')",3,33,0,0.001807625,0,0.037112611,0
"('K', 'S')",2,0,83,0,0.00454645,0,0.006205794
"('L', 'JH')",2,0,4,0,0.000219106,0,0.000299074
"('L', 'F', 'TH')",3,0,1,0,5.48E-05,0,0.003199591
"('S', 'P')",2,128,9,0.007011394,0.000492989,0.010058374,0.000672917
"('HH',)",1,523,0,0.028648116,0,0.01670628,0
"('B',)",1,692,102,0.037905346,0.005587204,0.022104676,0.002837632
"('L', 'B')",2,0,1,0,5.48E-05,0,7.48E-05
"('NG', 'K', 'T')",3,0,9,0,0.000492989,0,0.028796322
"('NG', 'K', 'TH')",3,0,2,0,0.000109553,0,0.006399183
"('R', 'Z')",2,0,1,0,5.48E-05,0,7.48E-05
"('D', 'TH')",2,0,3,0,0.00016433,0,0.000224306
"('R', 'K', 'S')",3,0,1,0,5.48E-05,0,0.003199591
"('D', 'W')",2,3,0,0.00016433,0,0.000235743,0
"('NG', 'K', 'S')",3,0,6,0,0.000328659,0,0.019197548
"('B', 'Y')",2,13,0,0.000712095,0,0.001021554,0
