Word,Cluster,Syllabification,Prop Responses
shampoo,M P,,
whitish,T,,
senior,N Y,,
connote,N,,
pantry,N T R,,
guano,N,,
seizure,ZH,,
passage,S,,
salvo,L V,,
cobble,B,,
akin,K,,
guileless,L L,,
deprave,P R,,
sincere,N S,,
atlas,T L,,
sixty,K S T,,
dictate,K T,,
cistern,S T,,
rector,K T,,
cuddle,D,,
pending,N D,,
shimmy,M,,
backside,K S,,
bachelor,CH,,
congest,N JH,,
hatchet,CH,,
limbless,M L,,
havoc,V,,
mason,S,,
rummage,M,,
having,V,,
convex,N V,,
handle,N D,,
burnish,R N,,
surplus,R P L,,
passport,S P,,
limbo,M B,,
bovine,V,,
crevice,V,,
trousers,Z,,
sandwich,N D W,,
gallant,L,,
gamble,M B,,
lucky,K,,
stagger,G,,
stifle,F,,
gambit,M B,,
basis,S,,
genius,N Y,,
outright,T R,,
staging,JH,,
order,R D,,
artist,R T,,
overt,V,,
stucco,K,,
lustre,S T,,
proverb,V,,
nimble,M B,,
milieu,L Y,,
primate,M,,
stocking,K,,
strongly,NG L,,
opus,P,,
frontal,N T,,
glottis,T,,
spastic,S T,,
dormant,R M,,
guinea,N,,
ovoid,V,,
fulcrum,L K R,,
smuggle,G,,
goatee,T,,
compile,M P,,
capstan,P S T,,
calif,L,,
aside,S,,
spatial,SH,,
squadron,D R,,
cattle,T,,
dimmer,M,,
spacious,SH,,
mukluk,K L,,
upshot,P SH,,
germane,R M,,
gesture,S CH,,
lapel,P,,
preface,F,,
infest,N F,,
proven,V,,
colloid,L,,
mistress,S T R,,
conquer,NG K,,
wedlock,D L,,
adorn,D,,
pizza,T S,,
relieve,L,,
belie,L,,
impact,M P,,
impair,M P,,
benzene,N Z,,
icy,S,,
piebald,B,,
senile,N,,
bravo,V,,
chatter,T,,
loathsome,DH S,,
pilfer,L F,,
poker,K,,
kowtow,T,,
mistrial,S T R,,
folly,L,,
precinct,S,,
pollen,L,,
plaintive,N T,,
kosher,SH,,
privy,V,,
knickers,K,,
comprise,M P R,,
bleachers,CH,,
stockade,K,,
poster,S T,,
invert,N V,,
account,K,,
offer,F,,
either,DH,,
boatman,T M,,
bundle,N D,,
planet,N,,
inform,N F,,
prefab,F,,
reverse,V,,
barrel,R,,
rescind,S,,
revere,V,,
compound,M P,,
retreat,T R,,
scissors,Z,,
basket,S K,,
petite,T,,
resale,S,,
homburg,M B,,
homely,M L,,
pussy,S,,
risen,Z,,
cookie,K,,
recluse,K L,,
ferrous,R,,
robin,B,,
penguin,NG G W,,
memoir,M W,,
stubble,B,,
huddle,D,,
benign,N,,
henchman,N CH M,,
huckster,K S T,,
derive,R,,
burro,R,,
lurid,R,,
rating,T,,
without,TH,,
liver,V,,
leeward,W,,
cologne,L,,
teaspoon,S P,,
reprieve,P R,,
legion,JH,,
flagpole,G P,,
wallboard,L B,,
pervert,R V,,
mangy,N JH,,
reject,JH,,
distinct,S T,,
houses,S,,
advice,D V,,
wicket,K,,
massage,S,,
chateau,T,,
upland,P L,,
meeting,T,,
campaign,M P,,
sherry,R,,
ahead,HH,,
prostate,S T,,
twilight,L,,
crevasse,V,,
rapid,P,,
fetter,T,,
blunder,N D,,
surprise,R P R,,
ashore,SH,,
