Cluster,Syllabification,Prop Responses,Prediction,Difference,
,,,,,
M P,,,,,
,,,,,
,.M P,0.02760938,0,0.02760938,
,,,,0,
,M.P,0.87791256,0.751878061,0.126034499,
,,,,0,
,M P.,0.09353109,0.248121939,-0.154590849,
,,,,0,
,?.?,0.00094697,,0.00094697,
,,,,0,
T,,,,0,
,,,,0,
,.T,0.755293783,0.341789665,0.413504118,
,,,,0,
,T.,0.23950025,0.658210335,-0.418710085,
,,,,0,
,?.?,0.005205967,,0.005205967,
,,,,0,
N Y,,,,0,
,,,,0,
,.N Y,0.136355886,0,0.136355886,
,,,,0,
,N.Y,0.831956854,1,-0.168043146,
,,,,0,
,N Y.,0.026328595,0,0.026328595,
,,,,0,
,?.?,0.005358665,,0.005358665,
,,,,0,
N,,,,0,
,,,,0,
,.N,0.628873172,0.161335756,0.467537416,
,,,,0,
,N.,0.362746449,0.838664244,-0.475917795,
,,,,0,
,?.?,0.00838038,,0.00838038,
,,,,0,
N T R,,,,0,
,,,,0,
,.N T R,0.015720873,0,0.015720873,
,,,,0,
,N.T R,0.917077216,0.461310319,0.455766897,
,,,,0,
,N T.R,0.051490448,0.538689681,-0.487199233,
,,,,0,
,N T R.,0.015711462,0,0.015711462,
,,,,0,
,?.?,0,,0,
,,,,0,
ZH,,,,0,
,,,,0,
,.ZH,0.861847042,0.143772044,0.718074998,
,,,,0,
,ZH.,0.138152958,0.856227956,-0.718074998,
,,,,0,
,?.?,0,,0,
,,,,0,
S,,,,0,
,,,,0,
,.S,0.683947226,0.593565693,0.090381534,
,,,,0,
,S.,0.310603094,0.406434307,-0.095831213,
,,,,0,
,?.?,0.005449679,,0.005449679,
,,,,0,
L V,,,,0,
,,,,0,
,.L V,0.016551383,0,0.016551383,
,,,,0,
,L.V,0.926309289,0.939297396,-0.012988108,
,,,,0,
,L V.,0.057139328,0.060702604,-0.003563276,
,,,,0,
,?.?,0,,0,
,,,,0,
B,,,,0,
,,,,0,
,.B,0.801501067,0.895220183,-0.093719116,
,,,,0,
,B.,0.192903727,0.104779817,0.08812391,
,,,,0,
,?.?,0.005595206,,0.005595206,
,,,,0,
K,,,,0,
,,,,0,
,.K,0.720922638,0.689147854,0.031774785,
,,,,0,
,K.,0.273955663,0.310852146,-0.036896484,
,,,,0,
,?.?,0.005121699,,0.005121699,
,,,,0,
L L,,,,0,
,,,,0,
,.L L,0.090909091,0,0.090909091,
,,,,0,
,L.L,0.884090909,1,-0.115909091,
,,,,0,
,L L.,0.025,0,0.025,
,,,,0,
,?.?,0,,0,
,,,,0,
P R,,,,0,
,,,,0,
,.P R,0.749334872,0.907551998,-0.158217126,
,,,,0,
,P.R,0.23725158,0.092448002,0.144803579,
,,,,0,
,P R.,0.008065954,0,0.008065954,
,,,,0,
,?.?,0.005347594,,0.005347594,
,,,,0,
N S,,,,0,
,,,,0,
,.N S,0.009048848,0,0.009048848,
,,,,0,
,N.S,0.93995283,0.691125038,0.248827792,
,,,,0,
,N S.,0.04821539,0.308874962,-0.260659572,
,,,,0,
,?.?,0.002782931,,0.002782931,
,,,,0,
T L,,,,0,
,,,,0,
,.T L,0.043577075,0,0.043577075,
,,,,0,
,T.L,0.948158462,1,-0.051841538,
,,,,0,
,T L.,0.008264463,0,0.008264463,
,,,,0,
,?.?,0,,0,
,,,,0,
K S T,,,,0,
,,,,0,
,.K S T,0.021043478,0,0.021043478,
,,,,0,
,K.S T,0.359252964,0.712885123,-0.353632159,
,,,,0,
,K S.T,0.601660079,0.205005763,0.396654316,
,,,,0,
,K S T.,0.018043478,0.082109114,-0.064065636,
,,,,0,
,?.?,0,,0,
,,,,0,
K T,,,,0,
,,,,0,
,.K T,0.046499815,0,0.046499815,
,,,,0,
,K.T,0.887365477,0.482352168,0.405013309,max onset?
,,,,0,
,K T.,0.064451206,0.517647832,-0.453196626,
,,,,0,
,?.?,0.001683502,,0.001683502,
,,,,0,
S T,,,,0,
,,,,0,
,.S T,0.383350111,0.317360727,0.065989384,
,,,,0,
,S.T,0.529323951,0.178631922,0.350692029,
,,,,0,
,S T.,0.086072596,0.504007351,-0.417934756,max onset/morphology?
,,,,0,
,?.?,0.001253342,,0.001253342,
,,,,0,
D,,,,0,
,,,,0,
,.D,0.761905568,0.641468681,0.120436887,
,,,,0,
,D.,0.233671576,0.358531319,-0.124859743,
,,,,0,
,?.?,0.004422856,,0.004422856,
,,,,0,
N D,,,,0,
,,,,0,
,.N D,0.019820665,0,0.019820665,
,,,,0,
,N.D,0.898094362,0.838663424,0.059430937,
,,,,0,
,N D.,0.08017695,0.161336576,-0.081159625,
,,,,0,
,?.?,0.001908023,,0.001908023,
,,,,0,
M,,,,0,
,,,,0,
,.M,0.693389813,0.670971605,0.022418208,
,,,,0,
,M.,0.30338024,0.329028395,-0.025648155,
,,,,0,
,?.?,0.003229947,,0.003229947,
,,,,0,
K S,,,,0,
,,,,0,
,.K S,0.126815033,0,0.126815033,
,,,,0,
,K.S,0.696053946,0.740831755,-0.044777809,
,,,,0,
,K S.,0.171536616,0.259168245,-0.087631629,
,,,,0,
,?.?,0.005594406,,0.005594406,
,,,,0,
CH,,,,0,
,,,,0,
,.CH,0.607776949,0.634999205,-0.027222256,
,,,,0,
,CH.,0.382993854,0.365000795,0.017993058,
,,,,0,
,?.?,0.009229197,,0.009229197,
,,,,0,
N JH,,,,0,
,,,,0,
,.N JH,0.022312441,0,0.022312441,
,,,,0,
,N.JH,0.912625918,0.852153705,0.060472212,
,,,,0,
,N JH.,0.060478308,0.147846295,-0.087367987,
,,,,0,
,?.?,0.004583333,,0.004583333,
,,,,0,
M L,,,,0,
,,,,0,
,.M L,0.032272727,0,0.032272727,
,,,,0,
,M.L,0.963181818,1,-0.036818182,
,,,,0,
,M L.,0.004545455,0,0.004545455,
,,,,0,
,?.?,0,,0,
,,,,0,
V,,,,0,
,,,,0,
,.V,0.757667343,0.540175367,0.217491976,
,,,,0,
,V.,0.2391758,0.459824633,-0.220648833,
,,,,0,
,?.?,0.003156858,,0.003156858,
,,,,0,
N V,,,,0,
,,,,0,
,.N V,0.009693205,0,0.009693205,
,,,,0,
,N.V,0.983005934,1,-0.016994066,
,,,,0,
,N V.,0.007300861,0,0.007300861,
,,,,0,
,?.?,0,,0,
,,,,0,
P L,,,,0,
,,,,0,
,.P L,0.504504292,0.799965571,-0.295461278,
,,,,0,
,P.L,0.489738705,0.200034429,0.289704276,
,,,,0,
,P L.,0.005757003,0,0.005757003,
,,,,0,
,?.?,0,,0,
,,,,0,
S P,,,,0,
,,,,0,
,.S P,0.367029663,0.389120107,-0.022090444,
,,,,0,
,S.P,0.606167062,0.589154387,0.017012675,
,,,,0,
,S P.,0.023245963,0.021725506,0.001520456,
,,,,0,
,?.?,0.003557312,,0.003557312,
,,,,0,
M B,,,,0,
,,,,0,
,.M B,0.024965605,0,0.024965605,
,,,,0,
,M.B,0.942878317,1,-0.057121683,
,,,,0,
,M B.,0.027502398,0,0.027502398,
,,,,0,
,?.?,0.00465368,,0.00465368,
,,,,0,
Z,,,,0,
,,,,0,
,.Z,0.778412924,0.150292046,0.628120879,
,,,,0,
,Z.,0.218802469,0.849707954,-0.630905485,
,,,,0,
,?.?,0.002784607,,0.002784607,
,,,,0,
N D W,,,,0,
,,,,0,
,.N D W,0.023809524,0,0.023809524,
,,,,0,
,N.D W,0.222619048,0.162297238,0.060321809,
,,,,0,
,N D.W,0.753571429,0.837702762,-0.084131333,
,,,,0,
,N D W.,0,0,0,
,,,,0,
,?.?,0,,0,
,,,,0,
L,,,,0,
,,,,0,
,.L,0.637775859,0.278239758,0.359536101,
,,,,0,
,L.,0.355341803,0.721760242,-0.366418439,
,,,,0,
,?.?,0.006882338,,0.006882338,
,,,,0,
G,,,,0,
,,,,0,
,.G,0.748879517,0.769879261,-0.020999744,
,,,,0,
,G.,0.24548866,0.230120739,0.015367921,
,,,,0,
,?.?,0.005631823,,0.005631823,
,,,,0,
F,,,,0,
,,,,0,
