Cluster,Syllabification,Prop Responses
M P,,
,.M P,0.027609380045454535
,M.P,0.8779125601363637
,M P.,0.09353109011363635
,?.?,0.0009469697045454542
T,,
,.T,0.7911333344302924
,T.,0.20341084510880258
,?.?,0.005455820460904917
N Y,,
,.N Y,0.1363558862192523
,N.Y,0.8319568538432993
,N Y.,0.026328594702784876
,?.?,0.005358665234663686
N,,
,.N,0.6664908399269316
,N.,0.3246031380342553
,?.?,0.00890602203881305
N T R,,
,.N T R,0.01572087334921396
,N.T R,0.9170772162541462
,N T.R,0.051490447997425484
,N T R.,0.01571146239921443
,?.?,0.0
ZH,,
,.ZH,0.8618470418888889
,ZH.,0.13815295811111114
,?.?,0.0
S,,
,.S,0.7467939175821008
,S.,0.2475636681800186
,?.?,0.005642414237880607
L V,,
,.L V,0.016551383375000003
,L.V,0.9263092886250001
,L V.,0.05713932800000001
,?.?,0.0
B,,
,.B,0.8604858361709897
,B.,0.13350162112802036
,?.?,0.00601254270098993
K,,
,.K,0.7445327527841956
,K.,0.25046013937111505
,?.?,0.005007107844689398
L L,,
,.L L,0.090909091
,L.L,0.884090909
,L L.,0.025
,?.?,0.0
P R,,
,.P R,0.7867933019241745
,P.R,0.1989548041374347
,P R.,0.00857007575053563
,?.?,0.005681818187855114
N S,,
,.N S,0.009048848224120457
,N.S,0.9399528303697978
,N S.,0.0482153900592565
,?.?,0.0027829313468251873
T L,,
,.T L,0.043577075090909086
,T.L,0.9481584621818182
,T L.,0.008264462727272727
,?.?,0.0
K S T,,
,.K S T,0.021043478297895653
,K.S T,0.35925296436407467
,K S.T,0.6016600790398339
,K S T.,0.01804347829819565
,?.?,0.0
K T,,
,.K T,0.04649981522911108
,K.T,0.8873654768351652
,K T.,0.0644512062688076
,?.?,0.0016835016669160742
S T,,
,.S T,0.3833501108562088
,S.T,0.5293239511883662
,S T.,0.08607259571401871
,?.?,0.0012533422414062088
D,,
,.D,0.797915571893664
,D.,0.19775679271370494
,?.?,0.004327635392630938
N D,,
,.N D,0.019820664699444674
,N.D,0.8980943615026613
,N D.,0.0801769503046648
,?.?,0.0019080234932290965
M,,
,.M,0.7659508435013093
,M.,0.23047954612903726
,?.?,0.003569610369653498
K S,,
,.K S,0.1268150327069402
,K.S,0.6960539461187754
,K S.,0.1715366155967158
,?.?,0.005594405577568585
CH,,
,.CH,0.7281459920157342
,CH.,0.26077318477660505
,?.?,0.011080823207660745
N JH,,
,.N JH,0.022312441198884373
,N.JH,0.9126259175543687
,N JH.,0.060478307896976065
,?.?,0.004583333349770833
M L,,
,.M L,0.032272727203227276
,M.L,0.9631818182963182
,M L.,0.004545454500454545
,?.?,0.0
V,,
,.V,0.8100506103070834
,V.,0.18686758099968243
,?.?,0.003081808693234182
N V,,
,.N V,0.009693205315789473
,N.V,0.9830059337894737
,N V.,0.007300860894736841
,?.?,0.0
R N,,
,.R N,0.021610694287772448
,R.N,0.8253401809833658
,R N.,0.1530491247288618
,?.?,0.0
R P L,,
,.R P L,0.0
,R.P L,1.0
,R P.L,0.0
,R P L.,0.0
,?.?,0.0
S P,,
,.S P,0.38232256569240336
,S.P,0.5996779911000134
,S P.,0.014293909624404418
,?.?,0.003705533583178936
M B,,
,.M B,0.024965605499999998
,M.B,0.9428783173333335
,M B.,0.027502397523809514
,?.?,0.0046536796428571425
Z,,
,.Z,0.7855919632828283
,Z.,0.21159774862626263
,?.?,0.0028102880909090903
N D W,,
,.N D W,0.023809524
,N.D W,0.2226190475
,N D.W,0.7535714285
,N D W.,0.0
,?.?,0.0
L,,
,.L,0.6634319526528037
,L.,0.32980046410428654
,?.?,0.00676758324290974
G,,
,.G,0.7814394962463768
,G.,0.21268381901449274
,?.?,0.005876684739130433
F,,
,.F,0.8501626331180214
,F.,0.14677910478899095
,?.?,0.0030582620929876935
T R,,
,.T R,0.7718832912137734
,T.R,0.21440017845238524
,T R.,0.005130671777967803
,?.?,0.00858585855587355
JH,,
,.JH,0.8182010081956523
,JH.,0.1760602378043478
,?.?,0.005738753999999999
R D,,
,.R D,0.01569898552148232
,R.D,0.8889884487701397
,R D.,0.08997563573053777
,?.?,0.005336929977840053
R T,,
,.R T,0.006601631467944642
,R.T,0.9170273637251697
,R T.,0.07434466233884371
,?.?,0.0020263424680419914
L Y,,
,.L Y,0.11463038775000002
,L.Y,0.8008258046666668
,L Y.,0.06570597266666667
,?.?,0.018837834916666667
NG L,,
,.NG L,0.09545454550000002
,NG.L,0.8818181820000001
,NG L.,0.022727272500000003
,?.?,0.0
P,,
,.P,0.8019315182018348
,P.,0.19552668110091742
,?.?,0.002541800697247706
N T,,
,.N T,0.029475477111474996
,N.T,0.9093219171840659
,N T.,0.057822775642689166
,?.?,0.0033798300617701197
R M,,
,.R M,0.00497730929611195
,R.M,0.9415016278169814
,R M.,0.0518375612203023
,?.?,0.0016835016666043145
L K R,,
,.L K R,0.0
,L.K R,1.0
,L K.R,0.0
,L K R.,0.0
,?.?,0.0
P S T,,
,.P S T,0.015151514999999999
,P.S T,0.9003293808333334
,P S.T,0.07618577083333333
,P S T.,0.0
,?.?,0.008333333333333333
SH,,
,.SH,0.7887526312851554
,SH.,0.2074404977845177
,?.?,0.003806870930326769
D R,,
,.D R,0.7618819588864434
,D.R,0.21114834426325355
,D R.,0.026969696850303027
,?.?,0.0
K L,,
,.K L,0.5631084581488673
,K.L,0.43049214418385634
,K L.,0.006399397667276133
,?.?,0.0
P SH,,
,.P SH,0.037705627600000007
,P.SH,0.9436796538000001
,P SH.,0.018614718600000003
,?.?,0.0
S CH,,
,.S CH,0.19347826088478262
,S.CH,0.7154432523879205
,S CH.,0.05861095429408729
,?.?,0.032467532433209656
N F,,
,.N F,0.011293290062500001
,N.F,0.9858658008750001
,N F.,0.0
,?.?,0.0028409090625
S T R,,
,.S T R,0.4542824452583455
,S.T R,0.48563156905111915
,S T.R,0.057693641216599326
,S T R.,0.0023923444739360356
,?.?,0.0
NG K,,
,.NG K,0.048277591963395296
,NG.K,0.7653468995294365
,NG K.,0.18295501596857522
,?.?,0.003420492538593097
D L,,
,.D L,0.1337615284
,D.L,0.8531785243
,D L.,0.008514492799999999
,?.?,0.0045454545
T S,,
,.T S,0.18560135502651448
,T.S,0.741953698677422
,T S.,0.07244494629606357
,?.?,0.0
