Cluster,Word,Response,jP_XC,jP_CX,jP_CCX,jP_CCCX,OnsetMax,Morph_XC,Morph_CX,Morph_CCX,Morph_CCCX,Frequency
"('M', 'P')",shampoo,XC,0.0,0.7518780611792045,0.24812193882079542,0,CX,0.25,0.25,0.25,0,0
"('M', 'P')",shampoo,CX,0.0,0.7518780611792045,0.24812193882079542,0,CX,0.25,0.25,0.25,0,20
"('M', 'P')",shampoo,CCX,0.0,0.7518780611792045,0.24812193882079542,0,CX,0.25,0.25,0.25,0,0
"('M', 'P')",shampoo,X,0.0,0.7518780611792045,0.24812193882079542,0,CX,0.25,0.25,0.25,0,0
"('T',)",whitish,XC,0.3417896651459582,0.6582103348540418,0,0,XC,0,1,0,0,9
"('T',)",whitish,CX,0.3417896651459582,0.6582103348540418,0,0,XC,0,1,0,0,10
"('T',)",whitish,X,0.3417896651459582,0.6582103348540418,0,0,XC,0,1,0,0,1
"('N', 'Y')",senior,XC,0.0,1.0,0.0,0,CX,0.25,0.25,0.25,0,2
"('N', 'Y')",senior,CX,0.0,1.0,0.0,0,CX,0.25,0.25,0.25,0,18
"('N', 'Y')",senior,CCX,0.0,1.0,0.0,0,CX,0.25,0.25,0.25,0,0
"('N', 'Y')",senior,X,0.0,1.0,0.0,0,CX,0.25,0.25,0.25,0,0
"('N',)",connote,XC,0.16133575606010916,0.8386642439398908,0,0,XC,0.25,0.25,0,0,18
"('N',)",connote,CX,0.16133575606010916,0.8386642439398908,0,0,XC,0.25,0.25,0,0,2
"('N',)",connote,X,0.16133575606010916,0.8386642439398908,0,0,XC,0.25,0.25,0,0,0
"('N', 'T', 'R')",pantry,XC,0.0,0.46131031887486096,0.538689681125139,0.0,CX,0.25,0.25,0.25,0.25,0
"('N', 'T', 'R')",pantry,CX,0.0,0.46131031887486096,0.538689681125139,0.0,CX,0.25,0.25,0.25,0.25,20
"('N', 'T', 'R')",pantry,CCX,0.0,0.46131031887486096,0.538689681125139,0.0,CX,0.25,0.25,0.25,0.25,0
"('N', 'T', 'R')",pantry,CCCX,0.0,0.46131031887486096,0.538689681125139,0.0,CX,0.25,0.25,0.25,0.25,0
"('N', 'T', 'R')",pantry,X,0.0,0.46131031887486096,0.538689681125139,0.0,CX,0.25,0.25,0.25,0.25,0
"('N',)",guano,XC,0.16133575606010916,0.8386642439398908,0,0,XC,0.25,0.25,0,0,13
"('N',)",guano,CX,0.16133575606010916,0.8386642439398908,0,0,XC,0.25,0.25,0,0,5
"('N',)",guano,X,0.16133575606010916,0.8386642439398908,0,0,XC,0.25,0.25,0,0,2
"('ZH',)",seizure,XC,0.14377204380917025,0.8562279561908298,0,0,XC,1,0,0,0,14
"('ZH',)",seizure,CX,0.14377204380917025,0.8562279561908298,0,0,XC,1,0,0,0,6
"('ZH',)",seizure,X,0.14377204380917025,0.8562279561908298,0,0,XC,1,0,0,0,0
"('S',)",passage,XC,0.5935656925793876,0.40643430742061243,0,0,XC,0,1,0,0,12
"('S',)",passage,CX,0.5935656925793876,0.40643430742061243,0,0,XC,0,1,0,0,8
"('S',)",passage,X,0.5935656925793876,0.40643430742061243,0,0,XC,0,1,0,0,0
"('L', 'V')",salvo,XC,0.0,0.9392973961489216,0.060702603851078465,0,CX,0.25,0.25,0.25,0,0
"('L', 'V')",salvo,CX,0.0,0.9392973961489216,0.060702603851078465,0,CX,0.25,0.25,0.25,0,19
"('L', 'V')",salvo,CCX,0.0,0.9392973961489216,0.060702603851078465,0,CX,0.25,0.25,0.25,0,1
"('L', 'V')",salvo,X,0.0,0.9392973961489216,0.060702603851078465,0,CX,0.25,0.25,0.25,0,0
