Cluster,Word,Response,jP_XC,jP_CX,jP_CCX,jP_CCCX,OnsetMax,Morph_XC,Morph_CX,Morph_CCX,Morph_CCCX,Frequency,P_stress,P_lax,codaP,onsetP
"('M', 'P')",shampoo,XC,0.0,0.7518780611792045,0.24812193882079542,0,CX,0.25,0.25,0.25,0,0,False,True,0.8787821482602117,0.0
"('M', 'P')",shampoo,CX,0.0,0.7518780611792045,0.24812193882079542,0,CX,0.25,0.25,0.25,0,20,False,True,0.11176248108925871,0.20405522001725626
"('M', 'P')",shampoo,CCX,0.0,0.7518780611792045,0.24812193882079542,0,CX,0.25,0.25,0.25,0,0,False,True,0.009455370650529501,0.7959447799827438
"('M', 'P')",shampoo,X,0.0,0.7518780611792045,0.24812193882079542,0,CX,0.25,0.25,0.25,0,0,False,True,,
"('T',)",whitish,XC,0.3417896651459582,0.6582103348540418,0,0,XC,0,1,0,0,9,True,False,0.7754046387452027,0.13074204946996465
"('T',)",whitish,CX,0.3417896651459582,0.6582103348540418,0,0,XC,0,1,0,0,10,True,False,0.22459536125479723,0.8692579505300353
"('T',)",whitish,X,0.3417896651459582,0.6582103348540418,0,0,XC,0,1,0,0,1,True,False,,
"('N', 'Y')",senior,XC,0.0,1.0,0.0,0,CX,0.25,0.25,0.25,0,2,True,False,0.6531271960646521,0.0
"('N', 'Y')",senior,CX,0.0,1.0,0.0,0,CX,0.25,0.25,0.25,0,18,True,False,0.34687280393534786,0.040062434963579606
"('N', 'Y')",senior,CCX,0.0,1.0,0.0,0,CX,0.25,0.25,0.25,0,0,True,False,0.0,0.9599375650364204
"('N', 'Y')",senior,X,0.0,1.0,0.0,0,CX,0.25,0.25,0.25,0,0,True,False,,
"('N',)",connote,XC,0.16133575606010916,0.8386642439398908,0,0,XC,0.25,0.25,0,0,18,False,True,0.6531271960646521,0.09269731989181215
"('N',)",connote,CX,0.16133575606010916,0.8386642439398908,0,0,XC,0.25,0.25,0,0,2,False,True,0.34687280393534786,0.9073026801081878
"('N',)",connote,X,0.16133575606010916,0.8386642439398908,0,0,XC,0.25,0.25,0,0,0,False,True,,
"('N', 'T', 'R')",pantry,XC,0.0,0.46131031887486096,0.538689681125139,0.0,CX,0.25,0.25,0.25,0.25,0,True,True,0.6025674273858921,0.0
"('N', 'T', 'R')",pantry,CX,0.0,0.46131031887486096,0.538689681125139,0.0,CX,0.25,0.25,0.25,0.25,20,True,True,0.32002074688796683,0.04513680846814459
"('N', 'T', 'R')",pantry,CCX,0.0,0.46131031887486096,0.538689681125139,0.0,CX,0.25,0.25,0.25,0.25,0,True,True,0.07741182572614108,0.21789494707409626
"('N', 'T', 'R')",pantry,CCCX,0.0,0.46131031887486096,0.538689681125139,0.0,CX,0.25,0.25,0.25,0.25,0,True,True,0.0,0.7369682444577591
"('N', 'T', 'R')",pantry,X,0.0,0.46131031887486096,0.538689681125139,0.0,CX,0.25,0.25,0.25,0.25,0,True,True,,
"('N',)",guano,XC,0.16133575606010916,0.8386642439398908,0,0,XC,0.25,0.25,0,0,13,True,False,0.6531271960646521,0.09269731989181215
"('N',)",guano,CX,0.16133575606010916,0.8386642439398908,0,0,XC,0.25,0.25,0,0,5,True,False,0.34687280393534786,0.9073026801081878
"('N',)",guano,X,0.16133575606010916,0.8386642439398908,0,0,XC,0.25,0.25,0,0,2,True,False,,
"('ZH',)",seizure,XC,0.14377204380917025,0.8562279561908298,0,0,XC,1,0,0,0,14,True,False,0.9967824967824969,0.0005417118093174432
"('ZH',)",seizure,CX,0.14377204380917025,0.8562279561908298,0,0,XC,1,0,0,0,6,True,False,0.0032175032175032173,0.9994582881906826
"('ZH',)",seizure,X,0.14377204380917025,0.8562279561908298,0,0,XC,1,0,0,0,0,True,False,,
"('S',)",passage,XC,0.5935656925793876,0.40643430742061243,0,0,XC,0,1,0,0,12,True,True,0.8299696374352563,0.23028785982478095
