Word,Morph1,Morph2,Pattern,Stress (1syl.2syl)
batting,bat,ing,Root+Inflection,13
bearing,bear,ing,Root+Inflection,13
beaten,beat,en,Root+Inflection,13
bitten,bite,en,Root+Inflection,13
broken,break,en,Root+Inflection,13
calling,call,ing,Root+Inflection,13
chiding,chide,ing,Root+Inflection,13
chosen,choose,en,Root+Inflection,13
clearing,clear,ing,Root+Inflection,13
clothing,cloth,ing,Root+Inflection,13
cloven,cleave,en,Root+Inflection,13
combings,comb,ings,Root+Inflection,13
coming,come,ing,Root+Inflection,13
coping,cope,ing,Root+Inflection,13
craving,crave,ing,Root+Inflection,13
cutting,cut,ing,Root+Inflection,13
dealing,deal,ing,Root+Inflection,13
dogged,dog,ed,Root+Inflection,13
dreaming,dream,ing,Root+Inflection,13
driven,drive,en,Root+Inflection,13
driving,drive,ing,Root+Inflection,13
eaten,eat,en,Root+Inflection,13
facing,face,ing,Root+Inflection,13
fallen,fall,en,Root+Inflection,13
fated,fate,ed,Root+Inflection,13
filing,file,ing,Root+Inflection,13
filling,fill,ing,Root+Inflection,13
footing,foot,ing,Root+Inflection,13
frozen,freeze,en,Root+Inflection,13
furring,fur,ing,Root+Inflection,13
given,give,en,Root+Inflection,13
gotten,got,en,Root+Inflection,13
hanging,hang,ing,Root+Inflection,13
hatching,hatch,ing,Root+Inflection,13
having,have,ing,Root+Inflection,13
hearing,hear,ing,Root+Inflection,13
hidden,hide,en,Root+Inflection,13
hiding,hide,ing,Root+Inflection,13
houses,house,es,Root+Inflection,13
housing,house,ing,Root+Inflection,13
jagged,jag,ed,Root+Inflection,13
killing,kill,ing,Root+Inflection,13
laden,lade,en,Root+Inflection,13
lading,lade,ing,Root+Inflection,13
leaping,leap,ing,Root+Inflection,13
leavings,leave,ings,Root+Inflection,13
liking,like,ing,Root+Inflection,13
lining,line,ing,Root+Inflection,13
living,live,ing,Root+Inflection,13
loathing,loathe,ing,Root+Inflection,13
longing,long,ing,Root+Inflection,13
losing,lose,ing,Root+Inflection,13
matting,mat,ing,Root+Inflection,13
meaning,mean,ing,Root+Inflection,13
meeting,meet,ing,Root+Inflection,13
milling,mill,ing,Root+Inflection,13
missing,miss,ing,Root+Inflection,13
mooring,moor,ing,Root+Inflection,13
netting,net,ing,Root+Inflection,13
noted,note,ed,Root+Inflection,13
outing,out,ing,Root+Inflection,13
padding,pad,ing,Root+Inflection,13
paling,pale,ing,Root+Inflection,13
paring,pare,ing,Root+Inflection,13
passing,pass,ing,Root+Inflection,13
paving,pave,ing,Root+Inflection,13
phrasing,phrase,ing,Root+Inflection,13
pickings,pick,ings,Root+Inflection,13
piling,pile,ing,Root+Inflection,13
plating,plate,ing,Root+Inflection,13
pleaded,plead,ed,Root+Inflection,13
plumbing,plumb,ing,Root+Inflection,13
proven,prove,en,Root+Inflection,13
ragged,rag,ed,Root+Inflection,13
railing,rail,ing,Root+Inflection,13
rating,rate,ing,Root+Inflection,13
ridden,rid,en,Root+Inflection,13
rigging,rig,ing,Root+Inflection,13
risen,rise,en,Root+Inflection,13
riven,rive,en,Root+Inflection,13
riving,rive,ing,Root+Inflection,13
running,run,ing,Root+Inflection,13
shading,shade,ing,Root+Inflection,13
siding,side,ing,Root+Inflection,13
sliding,slide,ing,Root+Inflection,13
smiting,smite,ing,Root+Inflection,13
smitten,smite,en,Root+Inflection,13
sparing,spare,ing,Root+Inflection,13
staging,stage,ing,Root+Inflection,13
stocking,stock,ing,Root+Inflection,13
strapping,strap,ing,Root+Inflection,13
stricken,strike,en,Root+Inflection,13
stridden,stride,en,Root+Inflection,13
striding,stride,ing,Root+Inflection,13
striven,strive,en,Root+Inflection,13
striving,strive,ing,Root+Inflection,13
suiting,suit,ing,Root+Inflection,13
swollen,swell,en,Root+Inflection,13
thriving,thrive,ing,Root+Inflection,13
ticking,tick,ing,Root+Inflection,13
tidings,tide,ings,Root+Inflection,13
trappings,trap,ings,Root+Inflection,13
tubing,tube,ing,Root+Inflection,13
veiling,veil,ing,Root+Inflection,13
wadding,wad,ing,Root+Inflection,13
wedding,wed,ing,Root+Inflection,13
whiting,white,ing,Root+Inflection,13
willing,will,ing,Root+Inflection,13
witted,wit,ed,Root+Inflection,13
